代码,名称,开盘价,收盘价
_000532,华金资本,12.12,12.13
_000627,天茂集团,3.3,3.47
_000807,云铝股份,13.21,12.81
_002053,云南能投,12.4,12.48
_002161,远 望 谷,5.94,5.82
_002162,悦心健康,5.31,5.15
_002195,二三四五,3.01,3.09
_002253,川大智胜,16.59,17.72
_002319,乐通股份,16.81,16.99
_002322,理工能科,10.73,10.91
_002354,天娱数科,5.56,6.22
_002435,长江健康,5.78,5.55
_002576,通达动力,23.78,20.53
_002621,美吉姆,5.29,5.16
_002649,博彦科技,12.47,13.39
_002682,龙洲股份,5.0,5.08
_002713,东易日盛,7.16,7.17
_002735,王子新材,26.2,26.2
_002753,永东股份,9.3,9.42
_002863,今飞凯达,6.38,6.53
_002927,泰永长征,14.45,14.93
_002947,恒铭达,24.0,24.75
_002951,金时科技,9.63,13.3
_301076,新瀚新材,31.54,35.2
_600301,南化股份,16.76,18.2
_600319,亚星化学,6.55,6.39
_600335,国机汽车,9.2,9.09
_600616,金枫酒业,7.61,7.57
_600658,电子城,5.24,5.14
_600705,中航产融,5.05,4.64
_600754,锦江酒店,56.77,63.03
_600797,浙大网新,6.9,6.98
_600819,耀皮玻璃,7.65,7.66
_600855,航天长峰,13.7,13.37
_603016,新宏泰,21.91,22.99
_603198,迎驾贡酒,65.8,70.56
_603358,华达科技,22.05,22.26
_603500,祥和实业,13.83,14.21
_603912,佳力图,13.4,13.8
_832735,德源药业,20.55,23.59
